Archetype Name,Scryfall Tagger Category,Exact Tagger Tag,Scryfall Search Syntax,Tag Description
Combo,Payoff,extra-turn,otag:extra-turn,Extra-turn effects as combo finishers or enablers.
Combo,Payoff,storm-count-matters,otag:storm-count-matters,Storm-count payoffs for spell-based combos.
Combo,Enabler,cost-reducer,otag:cost-reducer,Cost reduction makes combo lines cheaper.
Combo,Enabler,mana-rock,otag:mana-rock,Mana rocks for colorless acceleration.
Combo,Enabler,mana-dork,otag:mana-dork,Mana dorks for green acceleration.
Combo,Enabler,bottomless-mana-sink,otag:bottomless-mana-sink,Infinite-mana sinks that convert mana into a win.
Combo,Protection,gives-hexproof,otag:gives-hexproof,Protect combo pieces.
Combo,Protection,counterspell,otag:counterspell,Interaction to protect the combo turn.
Combo,Synergy,copy,otag:copy,Copy effects can duplicate combo pieces or spells.
Combo,Synergy,recursion,otag:recursion,Recursion recovers combo pieces from the yard.
Control/Pillowfort,Core Mechanic,pillowfort,otag:pillowfort,Tax / disincentive effects that discourage attacks at you.
Control/Pillowfort,Core Mechanic,tax,otag:tax,Resource taxes when opponents try to do things.
Control/Pillowfort,Core Mechanic,tax-attack,otag:tax-attack,Costs to attack — classic pillowfort.
Control/Pillowfort,Core Mechanic,cast-tax,otag:cast-tax,Taxes on casting spells.
Control/Pillowfort,Core Mechanic,counterspell,otag:counterspell,Hard permission.
Control/Pillowfort,Core Mechanic,removal,otag:removal,Spot and flexible removal.
Control/Pillowfort,Core Mechanic,sweeper,otag:sweeper,Board wipes (Scryfall aliases include board-wipe / boardwipe).
Control/Pillowfort,Payoff,fog,otag:fog,Prevent combat damage for a turn.
Control/Pillowfort,Payoff,pseudo-fog,otag:pseudo-fog,Fog-like combat shutdowns.
Control/Pillowfort,Payoff,damage-prevention,otag:damage-prevention,Prevent damage effects.
Control/Pillowfort,Enabler,draw-engine,otag:draw-engine,Card advantage engines to outgrind the table.
Control/Pillowfort,Enabler,spot-removal,otag:spot-removal,Efficient single-target removal.
Control/Pillowfort,Protection,gives-player-hexproof,otag:gives-player-hexproof,Player hexproof / shroud-style protection.
Control/Pillowfort,Win Condition,alternate-win-condition,otag:alternate-win-condition,Slow alternate wins while locked down.
Control/Pillowfort,Synergy,hatebear,otag:hatebear,Low-curve hate creatures that lock lines of play.
Control/Pillowfort,Synergy,lockdown-creature,otag:lockdown-creature,Keep opposing creatures tapped / locked.
Artifacts,Core Mechanic,synergy-artifact,otag:synergy-artifact,Cards that care about artifacts.
Artifacts,Core Mechanic,mana-rock,otag:mana-rock,Mana rocks — the backbone of artifact decks.
Artifacts,Core Mechanic,affinity,otag:affinity,Affinity for artifacts.
Artifacts,Core Mechanic,metalcraft,otag:metalcraft,Metalcraft thresholds.
Artifacts,Payoff,cranial-plating,otag:cranial-plating,Buffs based on artifact / equipment count.
Artifacts,Payoff,animate-artifact,otag:animate-artifact,Turn artifacts into creatures.
Artifacts,Enabler,tutor-artifact-equipment,otag:tutor-artifact-equipment,Tutors for equipment (often artifact packages).
Artifacts,Enabler,improvise,otag:improvise,Improvise as an artifact-casting enabler.
Artifacts,Enabler,imprint,otag:imprint,Imprint value engines.
Artifacts,Win Condition,repeatable-artifact-tokens,otag:repeatable-artifact-tokens,"Repeatable artifact-token makers (Clues, Treasures, etc.)."
Artifacts,Synergy,sacrifice-outlet-artifact,otag:sacrifice-outlet-artifact,Artifact sac outlets.
Artifacts,Synergy,cost-reducer,otag:cost-reducer,Cost reduction for expensive artifact payoffs.
Landfall,Core Mechanic,landfall,otag:landfall,Landfall triggers — defining mechanic.
Landfall,Core Mechanic,land-ramp,otag:land-ramp,Ramp that puts lands onto the battlefield.
Landfall,Core Mechanic,lands-matter,otag:lands-matter,Cards that care about lands generally.
Landfall,Core Mechanic,land-count-matters,otag:land-count-matters,Payoffs for high land counts.
Landfall,Core Mechanic,extra-land,otag:extra-land,Extra land drops per turn.
Landfall,Enabler,fetchland,otag:fetchland,Fetchlands that trigger landfall repeatedly.
Landfall,Enabler,multi-land-ramp,otag:multi-land-ramp,Ramp that nets multiple lands.
Landfall,Enabler,ramp,otag:ramp,General ramp effects.
Landfall,Payoff,landfall-other,otag:landfall-other,Landfall-like triggers on others' lands / variants.
Landfall,Payoff,tokenfall,otag:tokenfall,Token ETBs often paired with landfall token makers.
Landfall,Win Condition,gives-haste,otag:gives-haste,Haste for landfall creature tokens.
Landfall,Synergy,mana-dork,otag:mana-dork,Early mana to accelerate land drops and payoffs.
Graveyard/Reanimator,Core Mechanic,reanimate,otag:reanimate,Put creatures from graveyard onto the battlefield.
Graveyard/Reanimator,Core Mechanic,recursion,otag:recursion,Return cards from graveyard to hand / battlefield.
Graveyard/Reanimator,Core Mechanic,castable-from-graveyard,otag:castable-from-graveyard,Flashback and other cast-from-yard effects.
Graveyard/Reanimator,Core Mechanic,synergy-graveyard-cast,otag:synergy-graveyard-cast,Payoffs for casting from the graveyard.
Graveyard/Reanimator,Core Mechanic,graveyard-fuel,otag:graveyard-fuel,Fill the graveyard intentionally.
Graveyard/Reanimator,Enabler,mill-self,otag:mill-self,Self-mill to fuel the yard (alias: self-mill).
Graveyard/Reanimator,Enabler,discard-outlet,otag:discard-outlet,Discard outlets to pitch reanimation targets.
Graveyard/Reanimator,Enabler,surveil,otag:surveil,Surveil as selective self-mill.
Graveyard/Reanimator,Payoff,regrowth,otag:regrowth,Return cards from yard to hand.
Graveyard/Reanimator,Payoff,delve,otag:delve,Exile yard cards to help cast spells.
Graveyard/Reanimator,Payoff,persist,otag:persist,Persist recursion loops.
Graveyard/Reanimator,Synergy,death-trigger,otag:death-trigger,Death triggers in reanimator / aristocrats hybrids.
Graveyard/Reanimator,Synergy,sacrifice-outlet,otag:sacrifice-outlet,Sac outlets to re-kill and reanimate.
Aristocrats,Core Mechanic,sacrifice-outlet,otag:sacrifice-outlet,Ways to sacrifice permanents for value.
Aristocrats,Core Mechanic,free-sacrifice-outlet,otag:free-sacrifice-outlet,Sac outlets with no extra cost.
Aristocrats,Core Mechanic,death-trigger,otag:death-trigger,Triggers when creatures die.
Aristocrats,Core Mechanic,synergy-sacrifice,otag:synergy-sacrifice,Cards that care about sacrificing.
Aristocrats,Core Mechanic,martyr,otag:martyr,Creatures that sac themselves for benefit.
Aristocrats,Payoff,drain-life,otag:drain-life,Drain / life-loss on death or sac.
Aristocrats,Payoff,grave-pact,otag:grave-pact,Opponents sacrifice when your creatures die.
Aristocrats,Enabler,repeatable-creature-tokens,otag:repeatable-creature-tokens,Token fodder for the sac engine.
Aristocrats,Enabler,repeatable-sacrifice-outlet,otag:repeatable-sacrifice-outlet,Repeatable sac outlets.
Aristocrats,Win Condition,bombard,otag:bombard,Sac a creature to deal damage.
Aristocrats,Win Condition,fling,otag:fling,Sac a creature to deal its power as damage.
Aristocrats,Synergy,plunder,otag:plunder,Sac to draw cards.
Aristocrats,Synergy,sacrifice-outlet-creature,otag:sacrifice-outlet-creature,Creature-specific sac outlets.
Spellslinger/Storm,Core Mechanic,synergy-instant,otag:synergy-instant,Cards that care about instants.
Spellslinger/Storm,Core Mechanic,synergy-sorcery,otag:synergy-sorcery,Cards that care about sorceries.
Spellslinger/Storm,Core Mechanic,magecraft,otag:magecraft,Magecraft — cast instant/sorcery triggers.
Spellslinger/Storm,Core Mechanic,storm-count-matters,otag:storm-count-matters,Payoffs for high storm count.
Spellslinger/Storm,Core Mechanic,cantrip,otag:cantrip,Cantrips to chain spells.
Spellslinger/Storm,Payoff,copy-instant,otag:copy-instant,Copy instants.
Spellslinger/Storm,Payoff,copy-sorcery,otag:copy-sorcery,Copy sorceries.
Spellslinger/Storm,Payoff,copy-spell,otag:copy-spell,Copy spells generally.
Spellslinger/Storm,Payoff,young-pyromancer-ability,otag:young-pyromancer-ability,Cast instant/sorcery → token.
Spellslinger/Storm,Payoff,gives-prowess,otag:gives-prowess,Prowess grants for noncreature cast triggers.
Spellslinger/Storm,Payoff,prowess-anthem,otag:prowess-anthem,Team prowess on noncreature casts.
Spellslinger/Storm,Enabler,ritual,otag:ritual,Mana rituals for storm turns.
Spellslinger/Storm,Enabler,cost-reducer-instant-sorcery,otag:cost-reducer-instant-sorcery,Make instants/sorceries cheaper.
Spellslinger/Storm,Enabler,cast-trigger-you,otag:cast-trigger-you,"Whenever you cast X, do something."
Spellslinger/Storm,Win Condition,storm-like,otag:storm-like,Storm-adjacent finishers.
Spellslinger/Storm,Win Condition,burn-player,otag:burn-player,Burn that finishes after a big spell turn.
Voltron (Go-Tall),Core Mechanic,synergy-equipment,otag:synergy-equipment,Cards that care about equipment.
Voltron (Go-Tall),Core Mechanic,synergy-aura,otag:synergy-aura,Cards that care about auras.
Voltron (Go-Tall),Core Mechanic,living-weapon,otag:living-weapon,Equipment that makes its own creature.
Voltron (Go-Tall),Core Mechanic,quick-equip,otag:quick-equip,Non-equip attach / cheap attach effects.
Voltron (Go-Tall),Core Mechanic,auto-equip,otag:auto-equip,Equipment that attaches itself on ETB.
Voltron (Go-Tall),Payoff,sword-of-x-and-y,otag:sword-of-x-and-y,Protection swords and similar dual-protection equipment.
Voltron (Go-Tall),Payoff,evasion,otag:evasion,Evasion so the Voltron attacker connects.
Voltron (Go-Tall),Payoff,unblockable,otag:unblockable,True unblockable.
Voltron (Go-Tall),Payoff,gives-trample,otag:gives-trample,Trample for commander damage.
Voltron (Go-Tall),Enabler,tutor-artifact-equipment,otag:tutor-artifact-equipment,Equipment tutors.
Voltron (Go-Tall),Enabler,tutor-enchantment-aura,otag:tutor-enchantment-aura,Aura tutors.
Voltron (Go-Tall),Protection,gives-hexproof,otag:gives-hexproof,Protect the Voltron creature.
Voltron (Go-Tall),Protection,gives-indestructible,otag:gives-indestructible,Indestructible on the Voltron creature.
Voltron (Go-Tall),Protection,gives-protection,otag:gives-protection,Protection from color / quality.
Voltron (Go-Tall),Win Condition,gives-double-strike,otag:gives-double-strike,Double strike doubles commander damage.
Ramp,Core Mechanic,ramp,otag:ramp,Mana acceleration for current or later turns.
Ramp,Core Mechanic,land-ramp,otag:land-ramp,Ramp that puts lands onto the battlefield.
Ramp,Core Mechanic,mana-dork,otag:mana-dork,Creatures that tap for mana.
Ramp,Core Mechanic,mana-rock,otag:mana-rock,Artifacts that tap for mana.
Ramp,Core Mechanic,ritual,otag:ritual,Temporary mana bursts.
Ramp,Payoff,mana-sink,otag:mana-sink,Ways to spend excess mana.
Ramp,Payoff,bottomless-mana-sink,otag:bottomless-mana-sink,Sinks that scale with arbitrary mana.
Ramp,Payoff,mana-increaser,otag:mana-increaser,Mana doublers / Wild Growth style increasers.
Ramp,Enabler,multi-land-ramp,otag:multi-land-ramp,Multi-land ramp spells.
Ramp,Enabler,combat-ramp,otag:combat-ramp,Ramp via combat damage / attacks.
Ramp,Win Condition,gives-haste,otag:gives-haste,Haste for expensive threats cast with ramp.
Ramp,Synergy,landfall,otag:landfall,Extra lands feed landfall payoffs.
Aggro,Core Mechanic,gives-haste,otag:gives-haste,Haste so threats attack immediately.
Aggro,Core Mechanic,combat-trick,otag:combat-trick,Combat tricks to win races.
Aggro,Core Mechanic,evasion,otag:evasion,Evasion to connect for damage.
Aggro,Payoff,overrun,otag:overrun,Overrun finishers.
Aggro,Payoff,gives-double-strike,otag:gives-double-strike,Double strike for burst damage.
Aggro,Payoff,gives-first-strike,otag:gives-first-strike,First strike in combat.
Aggro,Payoff,gives-menace,otag:gives-menace,Menace as evasion.
Aggro,Payoff,gives-trample,otag:gives-trample,Trample to push damage through.
Aggro,Enabler,cost-reducer,otag:cost-reducer,Cheaper creatures for aggressive curves.
Aggro,Enabler,ritual,otag:ritual,Burst mana for explosive turns.
Aggro,Win Condition,burn-player,otag:burn-player,Burn to finish after combat.
Aggro,Win Condition,burn-any,otag:burn-any,Flexible burn.
Aggro,Synergy,anthem,otag:anthem,Anthems for go-wide aggro.
Counters (+1/+1),Core Mechanic,counters-matter,otag:counters-matter,Cards that care about counters.
Counters (+1/+1),Core Mechanic,counter-fuel-pt,otag:counter-fuel-pt,Sources of +1/+1 counters.
Counters (+1/+1),Core Mechanic,counter-increaser,otag:counter-increaser,Hardened Scales style increasers.
Counters (+1/+1),Core Mechanic,move-counters,otag:move-counters,Move counters (Ozolith patterns).
Counters (+1/+1),Payoff,synergy-proliferate,otag:synergy-proliferate,Proliferate payoffs / enablers.
Counters (+1/+1),Payoff,gives-trample,otag:gives-trample,Trample for oversized creatures.
Counters (+1/+1),Enabler,outlast-mentor,otag:outlast-mentor,Outlast / mentor style counter builders.
Counters (+1/+1),Enabler,pseudo-proliferate,otag:pseudo-proliferate,Proliferate-like effects.
Counters (+1/+1),Win Condition,overrun,otag:overrun,Finishers once the board is grown.
Counters (-1/-1),Core Mechanic,pp-counters-matter,otag:pp-counters-matter,Cards that care about -1/-1 counters.
Counters (-1/-1),Core Mechanic,counters-matter,otag:counters-matter,General counters-matter payoffs.
Counters (-1/-1),Core Mechanic,gives-wither,otag:gives-wither,Wither spreads -1/-1 via combat.
Counters (-1/-1),Payoff,synergy-wither,otag:synergy-wither,Wither synergy.
Counters (-1/-1),Payoff,synergy-infect,otag:synergy-infect,Infect synergy (poison + -1/-1 overlap).
Counters (-1/-1),Enabler,synergy-proliferate,otag:synergy-proliferate,Proliferate spreads -1/-1 counters.
Counters (-1/-1),Enabler,pseudo-proliferate,otag:pseudo-proliferate,Proliferate-like spread.
Counters (-1/-1),Win Condition,poison-opponents,otag:poison-opponents,Direct poison as a parallel win path.
Counters (-1/-1),Synergy,counter-increaser,otag:counter-increaser,Increasers that amplify -1/-1 placement.
Infect/Poison,Core Mechanic,poisonous,otag:poisonous,Poisonous / poison-on-damage creatures.
Infect/Poison,Core Mechanic,synergy-poison,otag:synergy-poison,Cards that care about poison counters.
Infect/Poison,Core Mechanic,poison-mechanics,otag:poison-mechanics,Effects that interact with poison by name.
Infect/Poison,Core Mechanic,poison-opponents,otag:poison-opponents,Give poison without connecting in combat.
Infect/Poison,Core Mechanic,gives-infect,otag:gives-infect,Grant infect.
Infect/Poison,Core Mechanic,synergy-infect,otag:synergy-infect,Infect synergy.
Infect/Poison,Payoff,gives-wither,otag:gives-wither,Wither as a related counter strategy.
Infect/Poison,Enabler,synergy-proliferate,otag:synergy-proliferate,Proliferate poison.
Infect/Poison,Enabler,evasion,otag:evasion,Evasion so infect creatures connect.
Infect/Poison,Win Condition,alternate-win-condition,otag:alternate-win-condition,Poison is an alternate win path.
Wheel,Core Mechanic,wheel,otag:wheel,"Discard hand, draw a new hand."
Wheel,Core Mechanic,wheel-symmetrical,otag:wheel-symmetrical,Each-player wheels.
Wheel,Core Mechanic,wheel-one-sided,otag:wheel-one-sided,One-sided (usually you) wheels.
Wheel,Core Mechanic,miniwheel,otag:miniwheel,"Discard hand, draw fewer than seven."
Wheel,Payoff,opponent-discard-matters,otag:opponent-discard-matters,Payoffs when opponents discard.
Wheel,Payoff,draw-matters,otag:draw-matters,Payoffs when you draw.
Wheel,Payoff,discard-symmetrical,otag:discard-symmetrical,Force discards without drawing back up.
Wheel,Enabler,whirlpool,otag:whirlpool,Wheel into the library variants.
Wheel,Win Condition,rack-effect,otag:rack-effect,Punish small hands after wheels.
Wheel,Synergy,group-slug,otag:group-slug,Damage while hands are cycled.
Lifegain,Core Mechanic,lifegain,otag:lifegain,Gain life.
Lifegain,Core Mechanic,lifegain-matters,otag:lifegain-matters,Payoffs for gaining life.
Lifegain,Core Mechanic,repeatable-lifegain,otag:repeatable-lifegain,Repeatable life gain.
Lifegain,Payoff,drain-life,otag:drain-life,Drain opponents while gaining life.
Lifegain,Payoff,alternate-win-condition,otag:alternate-win-condition,Felidar Sovereign style life wins.
Lifegain,Payoff,soul-warden-ability,otag:soul-warden-ability,ETB / creature life-gain triggers.
Lifegain,Enabler,gives-lifelink,otag:gives-lifelink,Grant lifelink.
Lifegain,Synergy,synergy-lifelink,otag:synergy-lifelink,Lifelink synergy.
Lifegain,Win Condition,burn-player,otag:burn-player,Burn finishers after racing life totals.
Superfriends,Core Mechanic,synergy-planeswalker,otag:synergy-planeswalker,Cards that care about planeswalkers.
Superfriends,Core Mechanic,tutor-planeswalker,otag:tutor-planeswalker,Planeswalker tutors.
Superfriends,Core Mechanic,protects-planeswalker,otag:protects-planeswalker,Protect planeswalkers from attack / removal.
Superfriends,Payoff,copy-planeswalker,otag:copy-planeswalker,Copy planeswalkers.
Superfriends,Enabler,synergy-proliferate,otag:synergy-proliferate,Proliferate loyalty.
Superfriends,Enabler,counter-fuel-loyalty,otag:counter-fuel-loyalty,Add loyalty counters.
Superfriends,Protection,damage-prevention-planeswalker,otag:damage-prevention-planeswalker,Prevent damage to planeswalkers.
Superfriends,Synergy,reanimate-planeswalker,otag:reanimate-planeswalker,Recur planeswalkers.
Superfriends,Synergy,passive-ability,otag:passive-ability,Planeswalkers with static / non-loyalty abilities.
Group Hug,Core Mechanic,group-hug,otag:group-hug,Effects that benefit other players.
Group Hug,Core Mechanic,selective-group-hug,otag:selective-group-hug,Hug that benefits only some opponents.
Group Hug,Enabler,force-draw,otag:force-draw,Force opponents to draw.
Group Hug,Enabler,donate-token,otag:donate-token,Create tokens for opponents.
Group Hug,Synergy,catch-up,otag:catch-up,Help players who are behind.
Group Hug,Win Condition,alternate-win-condition,otag:alternate-win-condition,Hug decks often pivot to alternate wins.
Group Slug,Core Mechanic,group-slug,otag:group-slug,Damage or effects that hit multiple players.
Group Slug,Core Mechanic,burn-player-each,otag:burn-player-each,Damage each player.
Group Slug,Core Mechanic,burn-player,otag:burn-player,Player-directed burn.
Group Slug,Payoff,rack-effect,otag:rack-effect,Punish small hands.
Group Slug,Enabler,synergy-burn,otag:synergy-burn,Burn synergy.
Group Slug,Win Condition,burn-any,otag:burn-any,Flexible burn.
Group Slug,Synergy,group-hug,otag:group-hug,Sometimes mixed politics tables.
Chaos,Core Mechanic,coin-flip,otag:coin-flip,Coin flip effects.
Chaos,Core Mechanic,dice-roll,otag:dice-roll,Dice roll effects.
Chaos,Core Mechanic,synergy-dice,otag:synergy-dice,Dice synergy.
Chaos,Core Mechanic,coin-flips-matter,otag:coin-flips-matter,Payoffs for coin flips.
Chaos,Payoff,random-card,otag:random-card,Random card selection effects.
Chaos,Payoff,conjure-random,otag:conjure-random,Conjure random cards.
Chaos,Enabler,dice-reroll,otag:dice-reroll,Reroll dice.
Chaos,Synergy,wish,otag:wish,Sideboard / wish tutoring as chaos value.
Blink/Flicker,Core Mechanic,flicker,otag:flicker,Blink / flicker (alias: blink).
Blink/Flicker,Core Mechanic,flicker-self,otag:flicker-self,Permanents that flicker themselves.
Blink/Flicker,Core Mechanic,flicker-slow,otag:flicker-slow,"Exile and return later (end of turn, etc.)."
Blink/Flicker,Payoff,creaturefall,otag:creaturefall,ETB triggers on creatures — the blink payoff.
Blink/Flicker,Payoff,enchantmentfall,otag:enchantmentfall,Enchantment ETBs (constellation).
Blink/Flicker,Enabler,flicker-enchantment,otag:flicker-enchantment,Flicker enchantments.
Blink/Flicker,Synergy,death-trigger,otag:death-trigger,Sometimes paired with sac-blink loops.
Blink/Flicker,Protection,gives-hexproof,otag:gives-hexproof,Protect key ETB pieces.
Enchantress,Core Mechanic,synergy-enchantment,otag:synergy-enchantment,Cards that care about enchantments.
Enchantress,Core Mechanic,enchantmentfall,otag:enchantmentfall,Constellation / enchantment ETBs.
Enchantress,Core Mechanic,enchantment-engine,otag:enchantment-engine,Repeatable enchantment value engines.
Enchantress,Core Mechanic,synergy-aura,otag:synergy-aura,Aura synergies inside enchantress.
Enchantress,Payoff,draw-engine,otag:draw-engine,Enchantress draw engines.
Enchantress,Enabler,tutor-enchantment,otag:tutor-enchantment,Enchantment tutors.
Enchantress,Enabler,tutor-enchantment-aura,otag:tutor-enchantment-aura,Aura tutors.
Enchantress,Enabler,cost-reducer-enchantment,otag:cost-reducer-enchantment,Cheaper enchantments.
Enchantress,Synergy,affinity-for-enchantments,otag:affinity-for-enchantments,Affinity for enchantments.
Enchantress,Synergy,synergy-enchantment-creature,otag:synergy-enchantment-creature,Enchantment creatures.
Enchantress,Protection,protects-enchantment,otag:protects-enchantment,Protect your enchantments.
Stax,Core Mechanic,tax,otag:tax,Tax opponents' actions.
Stax,Core Mechanic,cast-tax,otag:cast-tax,Tax on casts.
Stax,Core Mechanic,tax-attack,otag:tax-attack,Tax on attacks.
Stax,Core Mechanic,hatebear,otag:hatebear,Low-curve hate creatures.
Stax,Core Mechanic,hatebird,otag:hatebird,Flying hate creatures (higher curve mirrors).
Stax,Payoff,lockdown-creature,otag:lockdown-creature,Keep creatures locked down.
Stax,Payoff,lockdown-artifact,otag:lockdown-artifact,Lock artifacts.
Stax,Payoff,lockdown-land,otag:lockdown-land,Lock lands.
Stax,Payoff,freeze-creature,otag:freeze-creature,Prevent untapping.
Stax,Enabler,pillowfort,otag:pillowfort,Attack disincentives while locking the table.
Stax,Win Condition,alternate-win-condition,otag:alternate-win-condition,Win under a lock.
Stax,Synergy,spot-removal,otag:spot-removal,Clean up what slips through.
Theft,Core Mechanic,theft,otag:theft,Steal cards and resources.
Theft,Core Mechanic,threaten,otag:threaten,Gain control until end of turn.
Theft,Core Mechanic,theft-mass,otag:theft-mass,Mass theft effects.
Theft,Core Mechanic,nightveil-theft,otag:nightveil-theft,Exile and cast opponents' cards.
Theft,Core Mechanic,synergy-theft,otag:synergy-theft,Theft synergy.
Theft,Payoff,theft-land,otag:theft-land,Steal lands.
Theft,Payoff,theft-equipment,otag:theft-equipment,Steal equipment.
Theft,Payoff,theft-enchantment,otag:theft-enchantment,Steal enchantments.
Theft,Payoff,theft-planeswalker,otag:theft-planeswalker,Steal planeswalkers.
Theft,Enabler,theft-spell,otag:theft-spell,Steal / cast opponents' spells.
Theft,Synergy,copy-creature,otag:copy-creature,Copy as a soft-theft plan.
Legends Matter / Historic,Core Mechanic,synergy-legendary,otag:synergy-legendary,Cards that care about legendary permanents.
Legends Matter / Historic,Core Mechanic,synergy-historic,otag:synergy-historic,Cards that care about historic.
Legends Matter / Historic,Core Mechanic,legendary-team-up,otag:legendary-team-up,Legendary partner / team-up designs.
Legends Matter / Historic,Payoff,copy-legendary,otag:copy-legendary,Copy legendary permanents (often with legend-rule care).
Legends Matter / Historic,Payoff,mirror-gallery,otag:mirror-gallery,Bypass the legend rule.
Legends Matter / Historic,Enabler,tutor-legendary,otag:tutor-legendary,Tutor legendary cards.
Legends Matter / Historic,Enabler,tutor-creature-legendary,otag:tutor-creature-legendary,Tutor legendary creatures.
Legends Matter / Historic,Enabler,impulse-historic,otag:impulse-historic,Impulse historic cards.
Legends Matter / Historic,Synergy,synergy-equipment-legendary,otag:synergy-equipment-legendary,Legendary equipment synergies.
Legends Matter / Historic,Synergy,cost-reducer-historic,otag:cost-reducer-historic,Cost reduction for historic.
Mill,Core Mechanic,mill-opponent,otag:mill-opponent,Mill opponents.
Mill,Core Mechanic,mill-any,otag:mill-any,Mill any library.
Mill,Core Mechanic,mill-self,otag:mill-self,Self-mill (also fuels your own yard).
Mill,Core Mechanic,synergy-mill,otag:synergy-mill,Mill payoffs.
Mill,Core Mechanic,mill-exile,otag:mill-exile,Exile from top of library.
Mill,Payoff,alternate-win-condition,otag:alternate-win-condition,Mill-out / empty-library wins.
Mill,Enabler,surveil,otag:surveil,Selective mill / setup.
Mill,Enabler,graveyard-fuel,otag:graveyard-fuel,Fill yards intentionally.
Mill,Synergy,hand-disruption,otag:hand-disruption,Combine mill with hand attack.
Extra Combats,Core Mechanic,extra-combat-phase,otag:extra-combat-phase,Extra combat phases (alias: extra-combat).
Extra Combats,Payoff,gives-haste,otag:gives-haste,Haste so new attackers can use extra combats.
Extra Combats,Payoff,gives-double-strike,otag:gives-double-strike,Double strike with extra combats.
Extra Combats,Payoff,overrun,otag:overrun,Combat finishers.
Extra Combats,Enabler,untapper,otag:untapper,Untap attackers between combats.
Extra Combats,Synergy,combat-trick,otag:combat-trick,Tricks during multiple combat steps.
Extra Combats,Synergy,evasion,otag:evasion,Ensure attackers connect each combat.
Extra Turns,Core Mechanic,extra-turn,otag:extra-turn,Take extra turns.
Extra Turns,Payoff,alternate-win-condition,otag:alternate-win-condition,Win during locked extra-turn loops.
Extra Turns,Enabler,tutor,otag:tutor,Find extra-turn spells.
Extra Turns,Enabler,recursion,otag:recursion,Recur extra-turn spells.
Extra Turns,Enabler,castable-from-graveyard,otag:castable-from-graveyard,Cast extra turns from the yard.
Extra Turns,Protection,counterspell,otag:counterspell,Protect the extra-turn turn.
Extra Turns,Synergy,prevent-extra-turns,otag:prevent-extra-turns,Hate for opposing extra turns (sideboard mindset).
Equipment,Core Mechanic,synergy-equipment,otag:synergy-equipment,Equipment matters.
Equipment,Core Mechanic,living-weapon,otag:living-weapon,Living weapon equipment.
Equipment,Core Mechanic,quick-equip,otag:quick-equip,Cheap / alternate attach.
Equipment,Core Mechanic,auto-equip,otag:auto-equip,Self-attaching equipment.
Equipment,Payoff,french-vanilla-equipment,otag:french-vanilla-equipment,Simple keyword/stat equipment.
Equipment,Payoff,cranial-plating,otag:cranial-plating,Artifact-count buffs.
Equipment,Payoff,sword-of-x-and-y,otag:sword-of-x-and-y,Dual-protection swords.
Equipment,Enabler,tutor-artifact-equipment,otag:tutor-artifact-equipment,Equipment tutors.
Equipment,Enabler,impulse-artifact-equipment,otag:impulse-artifact-equipment,Impulse equipment.
Equipment,Synergy,copy-equipment,otag:copy-equipment,Copy equipment.
Equipment,Synergy,reanimate-equipment,otag:reanimate-equipment,Recur equipment.
Equipment,Protection,gives-hexproof,otag:gives-hexproof,Protect the equipped creature.
Vehicles,Core Mechanic,crew,otag:crew,Crew keyword / crewed vehicles.
